ds,yhat
2021-07-30 19:55:21,30.67309122140367
2021-07-30 19:55:26,30.673050133894357
2021-07-30 19:55:31,30.67300904638504
2021-07-30 19:55:36,30.672967958875724
2021-07-30 19:55:41,30.67292687136641
2021-07-30 19:55:46,30.672885783857094
2021-07-30 19:55:51,30.67284469634778
2021-07-30 19:55:56,30.672803608838468
2021-07-30 19:56:01,30.672762521329147
2021-07-30 19:56:06,30.672721433819834
2021-07-30 19:56:11,30.67268034631052
2021-07-30 19:56:16,30.672639258801205
2021-07-30 19:56:21,30.67259817129189
2021-07-30 19:56:26,30.672557083782575
2021-07-30 19:56:31,30.672515996273262
2021-07-30 19:56:36,30.672474908763945
2021-07-30 19:56:41,30.672433821254632
2021-07-30 19:56:46,30.67239273374532
2021-07-30 19:56:51,30.672351646236
